YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2009,-2.16,2.73,5.90,12.61,17.04,19.81,22.69,24.38,19.17,12.86,10.74,2.28,1.36,11.85,22.29,14.26,12.44
2010,0.40,0.73,9.10,14.48,18.59,23.81,27.51,25.34,21.81,14.63,8.93,0.54,1.14,14.06,25.55,15.12,13.97
2011,-1.16,2.36,5.85,12.50,18.16,22.52,26.92,24.15,21.25,14.05,11.16,6.39,0.58,12.17,24.53,15.49,13.19
2012,3.08,5.05,10.64,12.76,18.51,21.78,26.09,24.95,20.57,14.59,6.71,5.38,4.84,13.97,24.27,13.96,14.26
2013,1.83,1.18,4.64,11.79,17.22,22.70,26.69,23.17,19.43,15.15,6.88,3.18,2.80,11.22,24.19,13.82,13.01
2014,-2.32,-0.65,2.69,10.80,17.29,21.98,24.03,23.12,20.47,14.86,6.91,4.26,0.07,10.26,23.04,14.08,11.86
2015,-1.63,-4.89,2.92,11.88,19.79,21.28,25.51,25.60,23.09,13.98,11.06,9.94,-0.75,11.53,24.13,16.04,12.74
2016,0.91,2.71,8.89,11.36,17.07,22.32,25.90,26.18,22.08,14.83,9.83,3.52,4.52,12.44,24.80,15.58,14.34
2017,3.34,5.34,4.00,13.94,16.13,22.18,24.85,23.34,21.38,17.83,8.11,1.69,4.07,11.36,23.46,15.77,13.66
2018,-0.14,5.58,4.52,9.68,19.35,22.01,25.33,25.60,21.49,14.24,6.86,4.50,2.38,11.18,24.31,14.20,13.02
2019,0.30,2.35,5.40,13.01,16.74,22.00,26.40,24.14,21.29,15.48,6.59,3.51,2.38,11.72,24.18,14.45,13.18
2020,3.98,4.53,8.87,10.17,15.70,23.15,26.67,24.91,20.41,14.37,11.63,4.01,4.01,11.58,24.91,15.47,13.99
2021,1.55,1.23,7.68,12.53,17.14,23.46,24.45,25.29,21.26,16.66,7.90,6.53,2.26,12.45,24.40,15.27,13.60
2022,-0.89,2.99,7.39,11.51,17.78,21.87,26.40,26.28,20.84,13.81,10.50,3.61,2.88,12.23,24.85,15.05,13.75
2023,6.38,5.07,7.02,14.23,17.04,21.12,26.14,23.89,20.78,15.83,8.15,7.01,5.02,12.76,23.72,14.92,14.11
2024,2.79,4.49,8.97,13.12,18.31,23.91,26.47,23.94,20.45,16.07,10.79,3.50,4.76,13.47,24.77,15.77,14.69
